var,value_type,dataset_id
PRDAY12,double,NJ_SID_2012_CORE
PRDAY13,double,NJ_SID_2012_CORE
PRDAY14,double,NJ_SID_2012_CORE
PRDAY15,double,NJ_SID_2012_CORE
PRDAY16,double,NJ_SID_2012_CORE
PRDAY17,double,NJ_SID_2012_CORE
PRDAY18,double,NJ_SID_2012_CORE
PRDAY19,double,NJ_SID_2012_CORE
PRDAY20,double,NJ_SID_2012_CORE
PRDAY21,double,NJ_SID_2012_CORE
PRDAY22,double,NJ_SID_2012_CORE
PRDAY23,double,NJ_SID_2012_CORE
PRDAY24,double,NJ_SID_2012_CORE
PRDAY25,double,NJ_SID_2012_CORE
PROCTYPE,double,NJ_SID_2012_CORE
PSTATE,string,NJ_SID_2012_CORE
PSTCO,double,NJ_SID_2012_CORE
PSTCO2,double,NJ_SID_2012_CORE
PointOfOriginUB04,string,NJ_SID_2012_CORE
PointOfOrigin_X,string,NJ_SID_2012_CORE
PrimLang,string,NJ_SID_2012_CORE
RACE,double,NJ_SID_2012_CORE
RACE_X,string,NJ_SID_2012_CORE
READMIT,double,NJ_SID_2012_CORE
TOTCHG,double,NJ_SID_2012_CORE
TOTCHG_X,double,NJ_SID_2012_CORE
TRAN_IN,double,NJ_SID_2012_CORE
TRAN_OUT,double,NJ_SID_2012_CORE
YEAR,double,NJ_SID_2012_CORE
ZIP3,string,NJ_SID_2012_CORE
ZIPINC_QRTL,double,NJ_SID_2012_CORE
TOWN,string,NJ_SID_2012_CORE
ZIP,string,NJ_SID_2012_CORE
AYEAR,double,NJ_SID_2012_CORE
DMONTH,double,NJ_SID_2012_CORE
BMONTH,double,NJ_SID_2012_CORE
BYEAR,double,NJ_SID_2012_CORE
PRMONTH1,double,NJ_SID_2012_CORE
PRMONTH2,double,NJ_SID_2012_CORE
PRMONTH3,double,NJ_SID_2012_CORE
PRMONTH4,double,NJ_SID_2012_CORE
PRMONTH5,double,NJ_SID_2012_CORE
PRMONTH6,double,NJ_SID_2012_CORE
PRMONTH7,double,NJ_SID_2012_CORE
PRMONTH8,double,NJ_SID_2012_CORE
PRMONTH9,double,NJ_SID_2012_CORE
PRMONTH10,double,NJ_SID_2012_CORE
PRMONTH11,double,NJ_SID_2012_CORE
PRMONTH12,double,NJ_SID_2012_CORE
PRMONTH13,double,NJ_SID_2012_CORE
PRMONTH14,double,NJ_SID_2012_CORE
PRMONTH15,double,NJ_SID_2012_CORE
PRMONTH16,double,NJ_SID_2012_CORE
PRMONTH17,double,NJ_SID_2012_CORE
PRMONTH18,double,NJ_SID_2012_CORE
PRMONTH19,double,NJ_SID_2012_CORE
PRMONTH20,double,NJ_SID_2012_CORE
PRMONTH21,double,NJ_SID_2012_CORE
PRMONTH22,double,NJ_SID_2012_CORE
PRMONTH23,double,NJ_SID_2012_CORE
PRMONTH24,double,NJ_SID_2012_CORE
PRYEAR1,double,NJ_SID_2012_CORE
PRYEAR2,double,NJ_SID_2012_CORE
PRYEAR3,double,NJ_SID_2012_CORE
PRYEAR4,double,NJ_SID_2012_CORE
PRYEAR5,double,NJ_SID_2012_CORE
PRYEAR6,double,NJ_SID_2012_CORE
PRYEAR7,double,NJ_SID_2012_CORE
PRYEAR8,double,NJ_SID_2012_CORE
PRYEAR9,double,NJ_SID_2012_CORE
PRYEAR10,double,NJ_SID_2012_CORE
PRYEAR11,double,NJ_SID_2012_CORE
PRYEAR12,double,NJ_SID_2012_CORE
PRYEAR13,double,NJ_SID_2012_CORE
PRYEAR14,double,NJ_SID_2012_CORE
PRYEAR15,double,NJ_SID_2012_CORE
PRYEAR16,double,NJ_SID_2012_CORE
PRYEAR17,double,NJ_SID_2012_CORE
PRYEAR18,double,NJ_SID_2012_CORE
PRYEAR19,double,NJ_SID_2012_CORE
PRYEAR20,double,NJ_SID_2012_CORE
PRYEAR21,double,NJ_SID_2012_CORE
PRYEAR22,double,NJ_SID_2012_CORE
PRYEAR23,double,NJ_SID_2012_CORE
PRYEAR24,double,NJ_SID_2012_CORE
